Job #,Borough,House #,Street Name,Block,Lot,Bin #,Job Type,Community - Board,Curb Cut,Fully Permitted,Initial Cost,Proposed Zoning Sqft,Horizontal Enlrgmt,Vertical Enlrgmt,Enlargement SQ Footage,Zoning Dist1,Job Description
102763421,Manhattan,72,HORATIO STREET,642,52,1012140,A2,102,,2001-04-11,40000.0,0,,,0,R6,"Apartment renovation to include demolition and construction of partitions, minor plumbing work as shown on submitted plans.  No change in use,occupancy or egress."
102905377,Manhattan,245,WEST  104 STREET,1876,7,1056583,A2,107,,2001-03-22,75000.0,0,,,0,C1-5,DEMOLISH AND CONSTRUCT NEW INTERIOR PARTITIONS FOR THE COMBINATION OF APARTMENTS ALSO CAP AND SEAL PLUMBING AND GAS LINES WITH THE INSTALLATION OF NEW PLUMBING F IXTURES.  ALL AS SHOWN ON DRAWINGS FILED HEREWITH.
140943157,Manhattan,200,WEST 108TH STREET,1879,36,1056659,A2,107,,2021-08-11,55000.0,0,,,0,R8A,"INTERIOR ALTERATION OF EXISTING KITCHEN &amp; BATHROOMS IN UNIT 17A ON THE 16TH FL OOR (FLOOR LABELED AS 17 AS BUILDING FLOORS ARE IRREGULARY LABELED, THERE IS NO FLOOR LABELED 13).REMOVE EXISTING KITCHEN PARTITIONS &amp; DOORS.INSTALL NEW PARTITIONS DOORS &amp; FINISHES AT KITCHEN.REPLACE EXISTING FINISHES AT BATHROOM. NEW FINISHES THROUGHOUT APARTMENT AS INDICATED ON DRAWINGS FILED HEREWITH."
140946136,Manhattan,230,RIVERSIDE DRIVE,1253,7503,1034187,A2,107,,2020-09-04,62000.0,0,,,0,R10A,"FILING FOR INTERIOR RENOVATION OF EXISTING APARTMENT 16C. REARRANGEMENT OF NON-LOAD BEARING PARTITIONS, DOORS, FLOORING &amp; FINISHES AS SHOWN ON DRAWINGS FILED HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
102790428,Manhattan,215,WEST   98 STREET,1870,7502,1082691,A2,107,,2000-11-29,50000.0,0,,,0,R10-,RENOVATION TO APARTMENT INCLUDING KITCHEN AND BATH DUCT WORK FOR DRYER AND RANGE  NO CHANGE IN USE OCCUPANCY OR EGRESS
102790712,Manhattan,40,WEST   24 STREET,825,71,1015587,A2,105,,2000-12-15,50000.0,0,,,0,M1-6,"Renovation to Loft Apartment.  No change in use, egress or occupancy."
123440712,Manhattan,240,CENTRAL PARK SOUTH,1030,58,1024922,A2,105,,2018-04-19,71000.0,0,,,0,C5-1,"FILING APPLICATION FOR THE INTERIOR RENOVATION OF APARTMENT 7J ON THE 7TH FLOOR. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
321409560,Brooklyn,88,HERKIMER STREET,1865,48,3053911,A2,303,,2017-12-11,77000.0,0,,,0,R6B,"RENOVATE INTERIOR APARTMENT AS PER PLANS. REMOVE &amp; INSTALL PARTITIONS, INSTALL NEW FLOORING, NEW BATHROOM AND KITCHEN FIXTURES ON EXISTING ROUGHING. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
120419154,Manhattan,23,WEST    8 STREET,572,54,1077922,A2,102,,2010-09-29,40000.0,0,,,0,C4-5,"COMPLETE RENOVATION OF APARTMENT 1D ON THE SECOND FLOOR AND APARTMENT 3C ON TH E 4TH FLOOR. NO CHANGE IN OCCUPANCY, USE OR EGRESS"
301865373,Brooklyn,1758,79 STREET,6272,31,3162736,A2,311,,2005-02-24,58000.0,0,,,0,R5,"To renovate existing two apartment units at the 1st FL and 3rd FL.install new boilers and hot water heater at the cellar. No change in use, egress and occupancy."
102830279,Manhattan,120,EAST   87 STREET,1515,7502,1047955,A2,108,,2001-12-04,45000.0,0,,,0,C1-8X,Renovate existing apartment 18A as indicated on attached drawings.  No Change in use egress or occupancy.
302088764,Brooklyn,130,KANE STREET,321,39,3003707,A2,306,,2006-04-12,42000.0,0,,,0,R6,"townhouse apartment renovation: cellar, basement &amp; parlour floor.  Relocate &amp; upgrade plumbing fixtures &amp; gas range. Relocate &amp; upgrade radiators. Add air handling unit, condenser &amp; ductwork.  Replace wall with columns &amp; beams. Replace all front &amp; some rear windows. Reconfigure partitions per plans.  New finishes in kitchen &amp; bathroom. Misc. new cabinetry."
102942924,Manhattan,104,WEST   87 STREET,1217,137,1032221,A2,107,,2001-05-09,82000.0,0,,,0,R7-2,To Combine two Apartments on the third floor as per plans herewith.  No change to use egress or occupancy.
301899550,Brooklyn,675,UNION STREET,952,68,3019734,A2,306,,2005-06-21,70000.0,0,,,0,R6A,"Application filed to remove existing ECB Violations #34043379P, #34128497Z &amp; #34290802L and the renovation of all eight(8)apartments, including installation of new gypsum wallboard to existing studs and removal &amp; replacement of existing kitchen and bathroom fixtures at same location.  No change in existing bulk, use, occupancy or egress."
302144114,Brooklyn,643,WARREN STREET,934,56,3018674,A1,306,,2006-04-06,50000.0,0,,,0,R6B,"Combine first floor units and second floor units to create one apartment at first floor with cellar rec room, one apartment at second floor, and keep two units at third floor as shown on plans filed herewith."
302150507,Brooklyn,277,DRIGGS AVENUE,2698,17,3067531,A2,301,,2006-06-27,75000.0,0,,,0,R6A,"RENOVATION OF EXISTING APARTMENTS &amp; EXIS TING COMMERCIAL SPACE.NO CHANGE TO USE,EGRESS OR OCCUPANCY."
302153657,Brooklyn,219,WARREN STREET,302,53,3322589,A2,306,,2006-12-14,40000.0,0,,,0,R6,"Combine 2 apartments into one on the 2nd and 3rd floors. General construction including drywall partitions, plumbing revisions, mechanical ductwork and sprinklers. New roof deck and stair bulkhead."
140921812,Manhattan,343,EAST 30TH STREET,936,7501,1083120,A2,106,,2020-08-07,61000.0,0,,,0,R8,"RENOVATION OF EXISTING APARTMENT# 7C ON THE 7TH FLOOR. WORK TO INCLUDE NON-STRUCTURAL DEMOLITION AND  GENERAL CONSTRUCTION AS PER PLANS FILED HEREWITH. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
302157555,Brooklyn,490,MORGAN AVENUE,2842,1,3069930,A2,301,,2006-05-10,50000.0,0,,,0,M1-1,"Renovation of (6) existing apartments. No change to use, occupancy and egress."
340701388,Brooklyn,423,KNICKERBOCKER AVENUE,3279,3,3074796,A2,304,,2019-10-30,60000.0,0,,,0,C4-3,"HEREWITH FILING FOR INTERIOR RENOVATION OF 2ND FLOOR &amp; 3RD FLOOR APARTMENTS AS PER PLANS. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
302164137,Brooklyn,113,5 AVENUE,941,7501,3019034,A2,306,,2007-05-31,60000.0,0,,,0,R6A,(Engler Unit): Herewith filing for general construction and related plumbing work for renovation to existing duplex apartment; no change to use egress or occupancy under this application.
340735477,Brooklyn,9902,3RD AVENUE,6133,25,3156070,A2,310,,2020-08-15,80000.0,0,,,0,R7A,"INTERIOR RENOVATION OF TWO APARTMENTS COMBINED INTO SINGLE APARTMENT. NEW PARTITIONS, MILLWORK AND ELECTRICAL WORK. PLUMBING TO BE FILED SEPARATELY ON DOB NOW #B00351279-I1. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
301117155,Brooklyn,62,MONTAGUE STREET,247,25,3002033,A2,302,,2001-04-06,55000.0,0,,,0,R6,To combine apartments 8A &amp; 8E as per plans herewith.  No change in use egress or zoning.
301949168,Brooklyn,278,GARFIELD PLACE,1075,12,3025119,A2,306,,2005-08-30,50000.0,0,,,0,R6,"INTERIOR RENOVATION TO EXISTING APARTMENT ON BASEMENT, PARTITION AND PLUMBING WORK, ALL AS PER PLAN. NO CHANGE IN EGRESS, USE OR OCCUPANCY UNDER THIS APPLICATION."
321727636,Brooklyn,2847 REAR,W 15 STREET,7023,59,3321750,A2,313,,2018-06-22,45000.0,0,,,0,R6,"TO SHOW REMOVAL OF ILLEGAL EXTENSION TO EXISTING FIRE ESCAPE AT 3RD FLOOR, AND TO SHOW RESTORED LEGAL APARTMENT AT 3RD FLOOR, TOWARD REMOVAL OF ECB VIOLATION #34487504M &amp; 34487505Y.ALSO PLUMBING WORK TO REGISTER NEW BOILER AND HOTWATER HEATER."
301960509,Brooklyn,175,4 AVENUE,949,10,3019528,A2,306,,2005-11-15,40000.0,0,,,0,R8A,"General Construction to renovate fire damaged apartment. rearrangement of non/bearing partitions. Work to include Plumbing, new walls, floor and ceiling. No change to use egress, or occupancy."
302175982,Brooklyn,7901,4 AVENUE,5980,1,3150894,A1,310,,2010-02-12,80000.0,0,Y,,1080,R7-1,CONVERT EXISTING 1080 SF APARTMENT AT 1ST FLOOR INTO EXISTING MEDICAL OF FICE ADDITION
301970062,Brooklyn,44,SUTTON STREET,2690,57,3067308,A2,301,,2005-09-01,54000.0,0,,,0,R6,"GENERAL RENOVATION OF APARTMENT # 1R, RELOCATE KITCHEN AND BATHROOM, NEW ACCESS AND DECK AT REAR YARD, NEW BOILER RM, LAUNDRY AND TOILET AT CELLAR. NO CHANGE TO USE, OCCUPANCY AND EGRESS."
302177784,Brooklyn,501,HICKS STREET,321,7501,3003731,A2,306,,2006-11-06,40000.0,0,,,0,R6,"ERECTION OF MEZZANINE IN EXISTING APARTMENT #402 4TH FLOOR, INSTALLATION  OF BATHROOM &amp; RENOVATION OF EXISTING KITCHEN &amp; BATHROOM. NO CHANGE IN USE, EGRE SS AND/OR OCCUPANCY."
240223995,Bronx,363,EAST 197 STREET,3283,104,2016537,A2,207,,2018-07-17,52000.0,0,,,0,R7B,"RENOVATE EXISTING APARTMENT ON FIRST, SECOND AND THIRD FLOOR AS PER PLANS FILE HEREWITH. NO CHANGE IN USE OR MEANS OF EGRESS"
140917140,Manhattan,14,HORATIO ST,616,11,1011066,A2,102,,2020-12-18,40000.0,0,,,0,C1-6,"EXISTING STUDIO APARTMENT BATHROOM &amp; KITCHEN RENOVATION. PLUMBING WORK TO BE F ILED UNDER SEPARATE APPLICATION. ALL AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY. PLUMBING APPLICATION M00367387."
302189851,Brooklyn,1416,PUTNAM AVENUE,3378,20,3077332,A2,304,,2006-08-10,55000.0,0,,,0,R6,"Propose  to renovate  apartments as  per  plans.Install New Plumbing fixtures on existing risers.No  Change  in  Use,Egress or  Occupancy."
302194435,Brooklyn,375,MENAHAN STREET,3311,44,3075812,A2,304,,2009-02-09,60000.0,0,,,0,R6,"RECONSTRUCTION AND UPGRADE OF 3 STORY APARTMENT BUIDING. REPLACE PARTITIONS, REPLACE PLUMBING FIXTURE ON SAME ROUGHING.  RESTORE CEILING AND MISC. WORK ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION."
123587617,Manhattan,112,EAST 19TH STREET,874,69,1017903,A2,105,,2018-07-05,52000.0,0,,,0,R8B,"RENOVATION OF APARTMENT 11F AS SHOWN ON DRAWINGS FILED HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
302196781,Brooklyn,155,HENRY STREET,237,17,3001883,A2,302,,2007-08-10,50000.0,0,,,0,R7-1,"Renovation of existing apartment #6FG on the sixth floor. Architectural &amp; plumbing work. No change in use, occupancy or egress."
302197110,Brooklyn,98,MESEROLE STREET,3051,9,3071080,A2,301,,2006-07-28,40000.0,0,,,0,R6,"INTERIOR RENOVATION OF EXISTING THIRD FLOOR APARTMENTS. INSTALL NEW FURRING WALLS, INSULATION ON EXTERIOR WALLS AND CEILING. NO CHANGE IN USE, OCCUPANCY OR EGRESS."
302200712,Brooklyn,250,LEFFERTS AVENUE,1329,12,3035336,A2,309,,2006-09-21,40000.0,0,,,0,R6,"Renovate apartments..partition changes..new kitchens &amp; baths on existing roughing..no change to use, egress, or occupancy."
302202239,Brooklyn,1055,53 STREET,5660,65,3138594,A1,312,,2014-08-20,50000.0,0,,,0,R6,"Combine two apartments into one on 3rd floor (from six family to five family). Plumbing &amp; partition work as per plan.  No change in bulk, use, occupancy."
301166743,Brooklyn,196,BALTIC STREET,311,22,3003495,A2,306,,2001-06-28,70000.0,0,,,0,R6,"Combination of two existing residential apartments.  General construction, minor partition and plumbing work.  No change to use, egress or occupancy under this application."
302206413,Brooklyn,423,ATLANTIC AVENUE,178,54,3000724,A2,302,,2006-09-20,65000.0,0,,,0,R7A,"Interior renovation of existing apartment to include minor demo as required, new construction of partitions and plumbing work as shown on plans filed herewith.  No change in use, egress or occupancy."
123512243,Manhattan,310,E 75 ST,1449,38,1044934,A2,108,,2018-12-31,50000.0,0,,,0,R8B,"HEREBY FILING APPLICATION FOR THE INTERIOR RENOVATION OF APARTMENT 2C ON THE 2ND FLOOR. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
110003335,Manhattan,150,NASSAU STREET,100,3,1087756,A2,101,,2008-01-23,55000.0,0,,,0,C6-4,"Combine Apartments 14A &amp; 14B, and minor interior renovations. No change to use egress or occupancy."
302210051,Brooklyn,1866,MADISON PLACE,8472,1,3338902,A2,318,,2006-09-08,50000.0,0,,,0,R4,"Interior renovation to existing apartment as shown on drawings filed herewith. No change in use, egress or occupancy."
301782630,Brooklyn,1505,BROADWAY,3380,2,3077432,A1,304,,2007-02-15,80000.0,0,,,0,C1-3,Convert existing four (4) family unit to  eight (8) apartments per plans Plumbing and Partition.
302218375,Brooklyn,497,10 STREET,1012,61,3022393,A2,306,,2009-11-23,60000.0,0,,,0,R6B,"RENOVATIONS IN APARTMENT AT 1ST FLOOR AND CELLAR FOR RECRATION ROOM. NO SLEEPING.  NO CHANGE IN USE, EGRESS OR OCCUPANCY."
302221450,Brooklyn,888,CARROLL STREET,1072,32,3024961,A1,306,,2008-04-17,70000.0,0,,,0,R7B,"Partition changes, related plumbing and finish work. New A/C units. New accessory recreation room attached to first floor apartment. New convenience stair."
302223519,Brooklyn,1860,BURNETT STREET,6841,1,3343752,A2,315,,2006-09-14,50000.0,0,,,0,R4,"Interior renovation of existing apartment as shown on drawings filed herewith. No change in use, egress or occupancy."
123398518,Manhattan,511,EAST 82 STREET,1579,8,1051157,A2,108,,2018-06-28,80000.0,0,,,0,R8B,"FILING ALT.2 TO RENOVATE APARTMENT 3W ON THIRD FLOOR. DEMOLITION OF INTERIOR,NON LOAD-BEARING,PARTITIONS AND PLUMBING FIXTURES. NEW INTERIOR PARTITIONS AND PLUMBING FIXTURES ARE TO BE INSTALLED IN TWO RENOWATED BATHROOMS. NO EXTERIOR WORK. NO CHANGE TO USE,EGRESS,OR OCCUPANCY. CERTIFICATE OF OCCUPANCY DOES NOT HAVE TO BE AMENDAD."
302225713,Brooklyn,2427,83 STREET,6852,36,3185128,A2,311,,2006-10-31,50000.0,0,,,0,R5,"RENOVATION OF EXISTING 3 STORY RESIDENTIAL APARTMENT. WORKS INCLUDE NEW OPEN PORCH WITH AWNING, SOME MINOR REPAIR WORK PER PLAN. MINOR PARTITIONS AND NEW PLUMBING FIXTURES IN 2ND AND 3RD FLOOR FRONT APARTMENTS AND NEW BOILERS AND HOT WATER HEATERS IN CELLAR. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
302228104,Brooklyn,28,OLD FULTON STREET,202,1,3001475,A2,302,,2006-09-29,40000.0,0,,,0,M1-2,"INTERIOR RENOVATION TO APARTMENT #7H ON THE 7TH FLOOR, REMOVE AND RELOCATE INTERIOR PARTITIONS, RELOCATE REPLACE AND INSTALL NEW PLUMBING FIXTURES , ALL AS PER PLAN.  NO CHANGE IN USE EGRESS OR OCCUPANCY."
103915220,Manhattan,21,SOUTH END AVENUE,16,7509,1075698,A2,101,,2004-11-09,60000.0,0,,,0,C6-4,RENOVATIONS TO PENTHOUSE APARTMENT #1Q. NO CHANGE IN USE EGRESS OR OCCUPNACY.
302233349,Brooklyn,2068,FLATBUSH AVENUE,7866,64,3219578,A2,318,,2006-10-04,65000.0,0,,,0,C1-2,"Application is filed for renovation of existing store and apartments. No change in use, egress or occupancy under this application."
301790578,Brooklyn,532,HANCOCK STREET,1660,19,3046061,A1,303,,2004-10-21,50000.0,0,,,0,R5,RELOCATE 3RD FLOOR KITCHEN TOILET FLOOR BASEMENT FLOOR TO BE ONE APARTME NT 1ST 2ND &amp; 3RD TO BE 2ND APARTMENT PLUMBING INCLUDED OBTAIN NEW C OF O
123491239,Manhattan,38,GRAMERCY PARK,876,26,1017956,A2,106,,2019-12-06,45000.0,0,,,0,R9A,"RENOVATION OF APARTMENT 4G ON 4TH FLOOR. NO CHANGE TO USE, OCCUPANCY, OR EGRESS."
302238503,Brooklyn,7310,5 AVENUE,5919,41,3147887,A2,310,,2007-12-20,41000.0,0,,,0,C1-3,"RENOVATE ENTIRE 3RD FLOOR APARTMENT, INCLUDING PLUMBING WORK,REPAIR ROOF JOISTS AS REQUIRED ALL AS PER PLANS FILED. NO CHANGE IN EGRESS USE OR OCCUPANCY."
302238512,Brooklyn,1643,8 AVENUE,1113,7,3027161,A3,307,,2006-11-30,40000.0,0,,,0,R5B,"NEW BUILT-UP ROOF OVER EXISTING ROOF, NEW CER.TILE FLOORS,REPAIR/REPLACE PLASTER WALLS AND CEILING AND  NEW ENTRACE APARTMENT DOORS ALL WITHIN THE PUBLIC HALL AREAS,INCLUDING FENCE AT AREAWAY ALL AS PER PLANS FILED. NO CHANGE IN EGRESS USE OR OCCUPANCY."
302241973,Brooklyn,493,GRAND STREET,2387,22,3062731,A1,301,,2007-06-22,60000.0,0,,,0,R6A,"MISCELLANIOUS RENOVATIONS AT FIRST, SECOND,  AND THIRD FLOORS.  CONVERT SECOND AND THIRD FLOOR INTO 4 APARTMENTS. OBTAIN NEW CERTIFICATE OF OCCUPANCY."
302243926,Brooklyn,111,HICKS STREET,231,19,3001726,A2,302,,2006-11-03,40000.0,0,,,0,R7-1,"Minor partition changes at apartment 22E to accommodate new closets and plumbing fixtures. Related finish work. No increase to room count. No change to use, occupancy or egress."
140675455,Manhattan,15,WEST 84TH STREET,1198,19,1031306,A2,107,,2018-02-28,82000.0,0,,,0,R8B,"MINOR INTERIOR ALTERATION OF AN EXISTING RESIDENTIAL APARTMENT TO INCLUDE REMOVAL OF NON-LOAD-BEARING PARTITIONS, KITCHEN CABINETRY, AND APPLIANCES. INSTALLATION OF NEW PARTITIONS, KITCHEN CABINETRY, WALL, FLOOR, AND CEILING FINISHES, AND REPLACEMENT OF KITCHEN APPLIANCES, KITCHEN AND BATHROOM PLUMBING FIXTURES ON EXISTING ROUGH PLUMBING LOCATION"
302250882,Brooklyn,1861,BURNETT STREET,8472,1,3337523,A2,318,,2006-10-23,50000.0,0,,,0,R4,"Interior renovation to existing apartment as shown on drawings filed herewith. No change in use, egress or occupancy."
123290410,Manhattan,176,WEST 87TH STREET,1217,64,1032218,A2,107,,2017-09-26,50000.0,0,,,0,R10A,"INTERIOR RENOVATION APARTMENTS TO COMBINE EXISTING APARTMENTS, 4A &amp; 5J AS PER PLANS FILED HEREWITH.  NO CHANGE TO USE  EGRESS OR OCCUPANCY"
103935627,Manhattan,315,WEST   23 STREET,747,28,1013456,A2,104,,2005-03-04,55000.0,0,,,0,C2-6,"Renovation of existing apartment #12F including architectural and plumbing work.  No change of use, occupancy or egress."
302255627,Brooklyn,440,PACIFIC STREET,190,28,3001147,A2,302,,2008-03-11,60000.0,0,,,0,R6,"RECONFIGURE EXISTING 2 FAMILY TO CREATE 1 APARTMENT AT BASEMENT FLOOR AND 1 TRIPLEX APARTMENT AT FLOOR 1 THRU 3. PARTITION AND PLUMBING WORK, BROWNSTONE REAPIRS AT STOOP. ALL AS PER PLAN. NO CHANGE IN EGRESS, USE OR OCCUPANCY UNDER THIS APPLICATION."
302072423,Brooklyn,60,PLAZA STREET,1171,19,3029333,A2,308,,2006-03-10,70000.0,0,,,0,R8X,"Gut rehabilitiation of entire cellar apartment, partition removal, replacement of flooring and fixtrues. All plumbing work to conform to plans filed herewith.  Nocchange to use egress or occupancy."
321124840,Brooklyn,560,CARROLL STREET,961,7502,3397513,A2,306,,2015-08-18,65000.0,0,,,0,R8A,"FILING FOR INTERIOR RENOVATION TO COMBINE TWO APARTMENTS 9A AND 9B INTO ONE APARTMENT, WITH MINOR PARTITION AND PLUMBING WORK.  NO CHANGE TO USE, EGRESS, OR OCCUPANCY."
302261362,Brooklyn,1656,EAST    2 STREET,6608,45,3174721,A2,312,,2009-04-07,50000.0,0,,,0,R5,"INSTALLATIOM OF HEATING, COOLING,VENTILATION FOR THE RENOVATION OF FOUREXISTING APARTMENTS IN CONJUNCTION WITH JOB #302177409.   NO CHANGE TO USE,OCCUPANCY OR EGRESS."
302264332,Brooklyn,7714,13 AVENUE,6243,43,3161149,A2,310,,2007-06-15,50000.0,0,,,0,C2-2,"RENOVATION OF AN EXISTING 2 APARTMENTS ON THE SECOND AND THIRD FLOOR.  INSTALL ONE ADDITIONAL FULL BATHROOM, SLOP SINK, WASHING MACHINE AND ONE GAS DRYER IN EACH APARTMENT.  THERE S NO CHANGE IN USE, EGRESS OR OCCUPANCY DONE UNDER THIS APPLICATION."
